delta_mean,delta_std,delta_entropy,theta_mean,theta_std,theta_entropy,alpha_mean,alpha_std,alpha_entropy,beta_mean,beta_std,beta_entropy,gamma_mean,gamma_std,gamma_entropy,userId
,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,1
35.22,0.0,-8835.99703114,35.22,0.0,-8835.99703114,35.22,0.0,-8835.99703114,35.22,0.0,-8835.99703114,35.22,0.0,-8835.99703114,1
35.84,0.0,-9194.65701237,35.84,0.0,-9194.65701237,35.84,0.0,-9194.65701237,35.84,0.0,-9194.65701237,35.84,0.0,-9194.65701237,1
36.42,0.0,-9537.24714737,36.42,0.0,-9537.24714737,36.42,0.0,-9537.24714737,36.42,0.0,-9537.24714737,18.6375657844,17.7824342156,-9537.01826621,1
36.98,0.0,-9874.52901639,36.98,0.0,-9874.52901639,36.98,0.0,-9874.52901639,36.98,0.0,-9874.52901639,18.9765010104,18.0034989896,-9874.47719389,1
37.49,0.0,-10187.2733874,37.49,0.0,-10187.2733874,37.49,0.0,-10187.2733874,19.2923750492,18.1976249508,-10187.4903745,13.0833523483,17.2589965438,-10187.1296224,1
37.9914285714,0.0,-10499.9589005,37.9914285714,0.0,-10499.9589005,37.9914285714,0.0,-10499.9589005,19.6008447513,18.3905838201,-10500.5179475,13.2973000065,17.4626764328,-10500.1646956,1
38.555,0.0,-10857.563596,38.555,0.0,-10857.563596,38.555,0.0,-10857.563596,19.9539094114,18.6010905886,-10858.6696847,10.3473360323,16.2876713202,-10858.0273512,1
39.2266666667,0.0,-11292.3088508,39.2266666667,0.0,-11292.3088508,39.2266666667,0.0,-11292.3088508,20.4002740491,18.8263926176,-11294.555805,10.6463479181,16.5033672335,-11294.2544484,1
39.984,0.0,-11793.6933784,39.984,0.0,-11793.6933784,39.984,0.0,-11793.6933784,20.9376414993,19.0463585007,-11798.2522418,10.995835467,16.7402601623,-11798.6710978,1
40.7545454545,0.0,-12316.041833,40.7545454545,0.0,-12316.041833,21.5054154765,19.2491299781,-12324.3268428,14.8055070252,18.3520266761,-12325.6725869,9.22582914389,15.7727351984,-12325.2423144,1
41.4816666667,0.0,-12820.2943292,41.4816666667,0.0,-12820.2943292,22.0431223345,19.4385443322,-12833.2822455,15.1924583088,18.5948343819,-12835.0589506,9.45649031931,16.0254345249,-12834.6197737,1
42.16,0.0,-13300.6752063,42.16,0.0,-13300.6752063,22.5331984715,19.6268015285,-13318.6999595,15.5192526156,18.8467087781,-13320.4779022,9.65428829354,16.270138414,-13320.0461685,1
42.8085714286,0.0,-13769.0004537,42.8085714286,0.0,-13769.0004537,22.9849597994,19.8236116292,-13792.0068946,15.8049750996,19.1072781751,-13793.5441661,8.32353945777,15.4441263993,-13792.8951716,1
43.4466666667,0.0,-14238.3925425,43.4466666667,0.0,-14238.3925425,23.4135427951,20.0331238715,-14266.2292718,16.0759243408,19.3709057747,-14267.5514648,8.48605639709,15.6598801459,-14267.1880887,1
44.07875,0.0,-14711.8266787,44.07875,0.0,-14711.8266787,23.8268028852,20.2519471148,-14744.3871624,12.5650008169,18.2182177578,-14746.2509871,7.51707929118,14.9544904602,-14745.4008351,1
44.7141176471,0.0,-15196.2343653,44.7141176471,0.0,-15196.2343653,24.2344759403,20.4796417068,-15233.5409821,12.8102526909,18.4451432652,-15236.0870343,7.66824425902,15.1548466076,-15235.3072116,1
45.3277777778,0.0,-15672.2169685,45.3277777778,0.0,-15672.2169685,24.626031437,20.7017463408,-15714.3262786,13.0487225924,18.6633186153,-15717.7348979,7.81147609398,15.3497361446,-15717.0159474,1
45.8947368421,0.0,-16119.0895101,45.8947368421,0.0,-16119.0895101,24.9870737601,20.907663082,-16165.8840856,13.2584372276,18.8715851269,-16170.0273997,7.01740113629,14.731775752,-16168.9349207,1
46.422,0.0,-16540.8197153,25.3187682239,21.1032317761,-16591.9559958,25.3187682239,21.1032317761,-16591.9559958,13.4340536339,19.077297791,-16596.5263329,7.10164765246,14.9022699365,-16595.4191752,1
46.920952381,0.0,-16945.3716221,25.6263000336,21.2946523474,-17000.38329,25.6263000336,21.2946523474,-17000.38329,13.583870946,19.2819535124,-17005.1523861,7.18426062197,15.0618521854,-17004.1133428,1
47.4136363636,0.0,-17350.0671697,25.9216628776,21.491973486,-17408.4756121,17.9096971129,20.8882696039,-17412.9871366,11.1916012743,18.1519327188,-17413.5505953,6.53267502738,14.4977965364,-17412.2226982,1
47.92,0.0,-17771.421355,26.2174823496,21.7025176504,-17832.877663,18.1267938227,21.093079353,-17837.9148475,11.3375445352,18.3328029001,-17838.6759696,6.62912970518,14.6435109781,-17837.4393202,1
48.4491666667,0.0,-18217.6351762,26.5223542725,21.9268123941,-18282.051803,18.3590485343,21.3026412055,-18287.9112243,11.5098959505,18.5107531213,-18289.2093991,6.13192835162,14.15105145,-18287.7467427,1
48.992,0.0,-18681.6353874,26.8361059358,22.1558940642,-18749.247357,18.6090586554,21.5087046355,-18756.3782432,11.7010776367,18.6856879697,-18758.4728526,6.2410946021,14.2967245351,-18757.1567623,1
49.5315384615,0.0,-19149.1164403,27.1527955828,22.3787428788,-19220.3718316,18.8696277621,21.704695963,-19229.2244312,11.8925686676,18.8593943793,-19232.1470308,6.34342475979,14.4443778259,-19230.9203423,1
