,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,8
23.05,0.0,-3334.09933494,23.05,0.0,-3334.09933494,23.05,0.0,-3334.09933494,23.05,0.0,-3334.09933494,23.05,0.0,-3334.09933494,8
23.2933333333,0.0,-3416.26119734,23.2933333333,0.0,-3416.26119734,23.2933333333,0.0,-3416.26119734,23.2933333333,0.0,-3416.26119734,23.2933333333,0.0,-3416.26119734,8
23.445,0.0,-3468.02844311,23.445,0.0,-3468.02844311,23.445,0.0,-3468.02844311,23.445,0.0,-3468.02844311,11.8725208319,11.5724791681,-3467.81169281,8
23.592,0.0,-3518.61156057,23.592,0.0,-3518.61156057,23.592,0.0,-3518.61156057,23.592,0.0,-3518.61156057,11.938581506,11.653418494,-3518.40750226,8
23.79,0.0,-3587.38079387,23.79,0.0,-3587.38079387,23.79,0.0,-3587.38079387,12.0516400687,11.7383599313,-3587.15296971,8.1297040853,11.0735071063,-3586.94833561,8
24.0171428571,0.0,-3667.17378798,24.0171428571,0.0,-3667.17378798,24.0171428571,0.0,-3667.17378798,12.2099281935,11.8072146637,-3666.87877619,8.2505645252,11.1486920036,-3666.63583606,8
24.25,0.0,-3749.97649412,24.25,0.0,-3749.97649412,24.25,0.0,-3749.97649412,12.3813440274,11.8686559726,-3749.6252817,6.34295693399,10.3390325567,-3749.18657687,8
24.4955555556,0.0,-3838.39628562,24.4955555556,0.0,-3838.39628562,24.4955555556,0.0,-3838.39628562,12.5602521158,11.9353034398,-3838.02909144,6.44255194777,10.4236486682,-3837.55585735,8
24.772,0.0,-3939.29470757,24.772,0.0,-3939.29470757,24.772,0.0,-3939.29470757,12.759439285,12.012560715,-3938.96910063,6.56275743995,10.5142676158,-3938.43101482,8
25.0672727273,0.0,-4048.65539279,25.0672727273,0.0,-4048.65539279,12.9738218818,12.0934508454,-4048.45789091,8.79633695153,11.5066848507,-4048.13923747,5.41766275319,9.82680795993,-4047.6285774,8
25.3383333333,0.0,-4150.49810997,25.3383333333,0.0,-4150.49810997,13.1718663121,12.1664670212,-4150.50899612,8.94467955038,11.5939709486,-4150.16631768,5.50432860256,9.92002833574,-4149.66514562,8
